Main crops, Type of ownership , Macroregions  development regions and counties, Years, MU: Hectares, Valoare
Rapeseed, Total, Dambovita, Year 2012, Hectares, 583
Rapeseed, Total, Dambovita, Year 2013, Hectares, 1646
Rapeseed, Total, Dambovita, Year 2014, Hectares, 3617
Rapeseed, Total, Dambovita, Year 2015, Hectares, 4518
Rapeseed, Total, Dambovita, Year 2016, Hectares, 4836
Rapeseed, Total, Dambovita, Year 2017, Hectares, 6622
Rapeseed, Total, Dambovita, Year 2018, Hectares, 7966
Rapeseed, Total, Dambovita, Year 2019, Hectares, 4871
Rapeseed, Total, Dambovita, Year 2020, Hectares, 2613
Rapeseed, Total, Dambovita, Year 2021, Hectares, 3002
Rapeseed, Total, Dambovita, Year 2022, Hectares, 4340
Rapeseed, Total, Dambovita, Year 2023, Hectares, 6068
Rapeseed, Total, Dambovita, Year 2024, Hectares, 3925
Rapeseed, Total, Iasi, Year 1996, Hectares, 44
Rapeseed, Total, Iasi, Year 1997, Hectares, 100
Rapeseed, Total, Iasi, Year 1998, Hectares, 436
Rapeseed, Total, Iasi, Year 1999, Hectares, 607
Rapeseed, Total, Iasi, Year 2000, Hectares, 813
Rapeseed, Total, Iasi, Year 2001, Hectares, 314
Rapeseed, Total, Iasi, Year 2002, Hectares, 549
Rapeseed, Total, Iasi, Year 2003, Hectares, 160
Rapeseed, Total, Iasi, Year 2004, Hectares, 416
Rapeseed, Total, Iasi, Year 2005, Hectares, 676
Rapeseed, Total, Iasi, Year 2006, Hectares, 697
Rapeseed, Total, Iasi, Year 2007, Hectares, 7440
Rapeseed, Total, Iasi, Year 2008, Hectares, 8759
Rapeseed, Total, Iasi, Year 2009, Hectares, 12165
Rapeseed, Total, Iasi, Year 2010, Hectares, 7882
Rapeseed, Total, Iasi, Year 2011, Hectares, 9146
Rapeseed, Total, Iasi, Year 2012, Hectares, 1865
Rapeseed, Total, Iasi, Year 2013, Hectares, 4899
Rapeseed, Total, Iasi, Year 2014, Hectares, 10282
Rapeseed, Total, Iasi, Year 2015, Hectares, 6064
Rapeseed, Total, Iasi, Year 2016, Hectares, 5920
Rapeseed, Total, Iasi, Year 2017, Hectares, 10137
Rapeseed, Total, Iasi, Year 2018, Hectares, 11921
Rapeseed, Total, Iasi, Year 2019, Hectares, 6082
Rapeseed, Total, Iasi, Year 2020, Hectares, 6344
Rapeseed, Total, Iasi, Year 2021, Hectares, 9176
Rapeseed, Total, Iasi, Year 2022, Hectares, 10065
Rapeseed, Total, Iasi, Year 2023, Hectares, 14506
Rapeseed, Total, Iasi, Year 2024, Hectares, 12309
Rapeseed, Total, Mehedinti, Year 1990, Hectares, 370
Rapeseed, Total, Mehedinti, Year 1991, Hectares, 250
Rapeseed, Total, Mehedinti, Year 1992, Hectares, 180
Rapeseed, Total, Mehedinti, Year 1993, Hectares, 170
Rapeseed, Total, Mehedinti, Year 1998, Hectares, 200
Rapeseed, Total, Mehedinti, Year 1999, Hectares, 60
Rapeseed, Total, Mehedinti, Year 2003, Hectares, 412
Rapeseed, Total, Mehedinti, Year 2004, Hectares, 11
Rapeseed, Total, Mehedinti, Year 2005, Hectares, 60
Rapeseed, Total, Mehedinti, Year 2006, Hectares, 110
Rapeseed, Total, Mehedinti, Year 2007, Hectares, 382
Rapeseed, Total, Mehedinti, Year 2008, Hectares, 1629
Rapeseed, Total, Mehedinti, Year 2009, Hectares, 1932
Rapeseed, Total, Mehedinti, Year 2010, Hectares, 3712
Rapeseed, Total, Mehedinti, Year 2011, Hectares, 2640
Rapeseed, Total, Mehedinti, Year 2012, Hectares, 546
Rapeseed, Total, Mehedinti, Year 2013, Hectares, 1477
Rapeseed, Total, Mehedinti, Year 2014, Hectares, 2165
Rapeseed, Total, Mehedinti, Year 2015, Hectares, 2627
Rapeseed, Total, Mehedinti, Year 2016, Hectares, 5893
Rapeseed, Total, Mehedinti, Year 2017, Hectares, 8430
Rapeseed, Total, Mehedinti, Year 2018, Hectares, 8718
